solver,jobs,elapsed,value
CombinatorialBnB,1,1.1519999816300697e-06,
GurobiSolver,1,1.6420000292782788e-06,
CombinatorialBnB,1,1.0060000477096764e-06,
GurobiSolver,1,8.81000005392707e-07,
CombinatorialBnB,1,1.1099999710495467e-06,
GurobiSolver,1,1.2069999684172217e-06,
CombinatorialBnB,1,1.2829999604946352e-06,
GurobiSolver,1,1.0910000582953217e-06,
CombinatorialBnB,1,9.220000265486306e-07,
GurobiSolver,1,9.33000023906061e-07,
CombinatorialBnB,1,8.469999102089787e-07,
GurobiSolver,1,1.2719999631372048e-06,
CombinatorialBnB,1,9.58999976319319e-07,
GurobiSolver,1,1.3810000609737472e-06,
CombinatorialBnB,1,1.144000066233275e-06,
GurobiSolver,1,1.0980000979543547e-06,
CombinatorialBnB,1,7.740000000922009e-07,
GurobiSolver,1,1.3700000636163168e-06,
CombinatorialBnB,1,1.8549999367678538e-06,
GurobiSolver,1,1.1880000556629966e-06,
CombinatorialBnB,1,1.0840000186362886e-06,
GurobiSolver,1,1.1219999578315765e-06,
CombinatorialBnB,1,9.56000008045521e-07,
GurobiSolver,1,1.40000008741481e-06,
CombinatorialBnB,1,1.9279999605714693e-06,
GurobiSolver,1,1.5180000900727464e-06,
CombinatorialBnB,1,1.1610000001383014e-06,
GurobiSolver,1,1.0320000001229346e-06,
CombinatorialBnB,1,8.509999815942138e-07,
GurobiSolver,1,1.6039999763961532e-06,
CombinatorialBnB,1,1.044000100591802e-06,
GurobiSolver,1,1.348000068901456e-06,
CombinatorialBnB,1,9.010000212583691e-07,
GurobiSolver,1,1.1720001111825695e-06,
CombinatorialBnB,1,8.090000847005285e-07,
GurobiSolver,1,1.311999994868529e-06,
CombinatorialBnB,1,9.220000265486306e-07,
GurobiSolver,1,1.0809999366756529e-06,
CombinatorialBnB,1,8.550000529794488e-07,
GurobiSolver,1,9.8099997103418e-07,
